Marca;Modelo;Tipo;Contraseña de Homologación;Variante;Versión;Parte Fija Vin;Combustible;Eurotaxi;Cilindrada;Potencia;Tipo de Cambio;Nº Plazas;Mampara s/n;Comercializado s/n;Clasificación D.G.T.
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2S?????8XX;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;NO;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2F?????7BE;WDF447??????????;DIESEL;SI;2143;120.0;AUTOMÁTICO 7V;de 5+1PMR a 7 plazas (*);NO;SI;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2S?????7BE;WDF447??????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;SI;C
NISSAN;NISSAN LEAF 40 KWH;ZE1;e9*2007/46*6537;A;A02;??????ZE1????????;ELECTRICO;NO;0;0.0;AUTOMÁTICO;5;NO;SI;0
NISSAN;NISSAN LEAF 40 KWH;ZE1;e9*2007/46*6537;A;A01;??????ZE1????????;ELECTRICO;NO;0;0.0;AUTOMÁTICO;5;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B01;VSKTAAME0;ELECTRICO;SI;0;80.0;AUTOMÁTICO;5+1PMR;NO;NO;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B03;VSKTAAME0;ELECTRICO;NO;0;0.0;AUTOMÁTICO;5;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B04;VSKTAAME0????????;ELECTRICO;NO;0;0.0;AUTOMÁTICO;7;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B03;VSKTAAME0????????;ELECTRICO;SI;0;0.0;AUTOMÁTICO;5+1PMR;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B02;VSKTAAME0;ELECTRICO;NO;0;80.0;AUTOMÁTICO;7;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A01;JN1FAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A01;SJNFAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A02;JN1FAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A02;SJNFAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B01;VSKTAAME0;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
